HT14			rows = 658
3	0.3367	0.00612	1500000	0.0016
4	0.4496	0.00671	1500000	0.002
5	0.5621	0.00745	1500000	0.0024
6	0.6735	0.00839	1500000	0.0029
7	0.7841	0.00944	1500000	0.0034
8	0.8929	0.01079	1500000	0.0041
9	0.9997	0.01244	1500000	0.0049
10	1.1038	0.01442	1500000	0.006
11	1.202	0.01732	1500000	0.0073
12	1.2961	0.02036	1500000	0.0088
13	1.3787	0.02465	1500000	0.0106
14	1.4048	0.03526	1500000	0.0126
15	1.3105	0.07268	1500000	-0.017
-5	-0.5623	0.00718	1750000	-0.0023
-4	-0.4496	0.00649	1750000	-0.0019
-3	-0.3365	0.0059	1750000	-0.0016
-2	-0.2179	0.00542	1750000	-0.0023
-1	-0.1128	0.00587	1750000	-0.0001
0	0.0001	0.00598	1750000	-0
1	0.1131	0.00587	1750000	0.0001
2	0.2181	0.00542	1750000	0.0023
3	0.3368	0.0059	1750000	0.0016
4	0.4499	0.0065	1750000	0.0019
5	0.5626	0.00718	1750000	0.0023
6	0.6743	0.00808	1750000	0.0027
7	0.7849	0.00915	1750000	0.0033
8	0.8943	0.01035	1750000	0.0039
9	1.0013	0.01196	1750000	0.0047
10	1.1051	0.0141	1750000	0.0058
11	1.2069	0.01615	1750000	0.0069
12	1.3031	0.0189	1750000	0.0083
13	1.3796	0.02448	1750000	0.0105
14	1.4439	0.03025	1750000	0.0126
15	1.407	0.05288	1750000	-0.0027
-5	-0.5627	0.00697	2000000	-0.0022
-4	-0.4499	0.00631	2000000	-0.0019
-3	-0.3366	0.00574	2000000	-0.0015
-2	-0.223	0.00548	2000000	-0.0009
-1	-0.1132	0.00589	2000000	-0
0	0.0001	0.00595	2000000	-0
1	0.1135	0.00589	2000000	0
2	0.2232	0.00548	2000000	0.0009
3	0.3369	0.00574	2000000	0.0015
4	0.4502	0.00631	2000000	0.0019
5	0.563	0.00697	2000000	0.0022
6	0.6749	0.00784	2000000	0.0026
7	0.7857	0.00885	2000000	0.0032
8	0.8953	0.01002	2000000	0.0038
9	1.0029	0.01149	2000000	0.0045
10	1.1078	0.01336	2000000	0.0055
11	1.2103	0.01532	2000000	0.0066
12	1.3036	0.0188	2000000	0.0082
13	1.3926	0.02219	2000000	0.0099
14	1.4662	0.02709	2000000	0.0121
