NACA0012			rows = 658
11	1.183	0.01505	1400000	0.0066
12	1.2628	0.01755	1400000	0.011
13	1.339	0.01994	1400000	0.0154
14	1.4033	0.0223	1400000	0.0212
15	1.4513	0.0256	1400000	0.0274
-5	-0.5386	0.00767	1500000	-0.0055
-4	-0.4314	0.00671	1500000	-0.0044
-3	-0.3262	0.00599	1500000	-0.0027
-2	-0.2185	0.00552	1500000	-0.0016
-1	-0.1097	0.00529	1500000	-0.0007
0	-0	0.0052	1500000	0
1	0.1097	0.00529	1500000	0.0007
2	0.2185	0.00552	1500000	0.0016
3	0.3262	0.00599	1500000	0.0027
4	0.4314	0.00671	1500000	0.0044
5	0.5386	0.00767	1500000	0.0055
6	0.6643	0.00873	1500000	0.0022
7	0.7989	0.00981	1500000	-0.0032
8	0.9253	0.01091	1500000	-0.007
9	1.0098	0.01196	1500000	-0.0019
10	1.0945	0.01343	1500000	0.0029
11	1.186	0.01473	1500000	0.0061
12	1.2647	0.01736	1500000	0.0107
13	1.3474	0.01925	1500000	0.0143
14	1.4162	0.02151	1500000	0.0196
15	1.4655	0.02458	1500000	0.0261
-5	-0.539	0.00743	1750000	-0.0053
-4	-0.4343	0.00656	1750000	-0.0036
-3	-0.3281	0.00588	1750000	-0.0021
-2	-0.2198	0.00547	1750000	-0.0012
-1	-0.1103	0.00523	1750000	-0.0005
0	0	0.00515	1750000	-0
1	0.1103	0.00523	1750000	0.0005
2	0.2198	0.00547	1750000	0.0012
3	0.3282	0.00588	1750000	0.0021
4	0.4343	0.00656	1750000	0.0035
5	0.539	0.00743	1750000	0.0053
6	0.6571	0.0084	1750000	0.0038
7	0.7892	0.00942	1750000	-0.0011
8	0.9212	0.01054	1750000	-0.0061
9	1.0148	0.01154	1750000	-0.0028
10	1.101	0.01278	1750000	0.0018
11	1.1917	0.01411	1750000	0.0052
12	1.2767	0.0162	1750000	0.009
13	1.3623	0.01798	1750000	0.0123
14	1.4391	0.02006	1750000	0.0165
15	1.49	0.02292	1750000	0.0237
-5	-0.5411	0.00726	2000000	-0.0046
-4	-0.4365	0.00647	2000000	-0.0029
-3	-0.3297	0.00581	2000000	-0.0017
-2	-0.2208	0.00542	2000000	-0.0009
-1	-0.1108	0.0052	2000000	-0.0004
0	-0	0.00512	2000000	0
1	0.1108	0.0052	2000000	0.0004
2	0.2208	0.00542	2000000	0.0009
3	0.3297	0.00581	2000000	0.0017
4	0.4365	0.00647	2000000	0.0029
5	0.5411	0.00726	2000000	0.0046
6	0.6527	0.00812	2000000	0.0047
7	0.7824	0.00911	2000000	0.0004
8	0.9129	0.01023	2000000	-0.0042
9	1.0188	0.01124	2000000	-0.0036
10	1.106	0.01231	2000000	0.001
11	1.1953	0.01371	2000000	0.0047
12	1.2849	0.01539	2000000	0.0078
13	1.3724	0.01709	2000000	0.0109
14	1.4517	0.01911	2000000	0.0148
15	1.5013	0.02219	2000000	0.0225
-5	-0.5501	0.00682	3000000	-0.0024
-4	-0.4423	0.00621	3000000	-0.0013
-3	-0.3334	0.00569	3000000	-0.0007
-2	-0.2232	0.00535	3000000	-0.0002
-1	-0.1118	0.00515	3000000	-0.0001
0	-0	0.00509	3000000	0
1	0.1118	0.00515	3000000	0.0001
2	0.2232	0.00535	3000000	0.0002
3	0.3334	0.00569	3000000	0.0006
4	0.4423	0.00621	3000000	0.0013
5	0.5501	0.00682	3000000	0.0024
6	0.6555	0.00751	3000000	0.0039
7	0.7671	0.00831	3000000	0.0039
8	0.8942	0.00919	3000000	0.0002
9	1.0213	0.01023	3000000	-0.0037
10	1.1183	0.01123	3000000	-0.0012
11	1.2075	0.01243	3000000	0.0027
12	1.3023	0.01362	3000000	0.0052
13	1.3921	0.01528	3000000	0.0081
14	1.4699	0.01769	3000000	0.0125
15	1.5468	0.01948	3000000	0.0166
-5	-0.555	0.00657	4000000	-0.0012
-4	-0.4456	0.00607	4000000	-0.0005
-3	-0.3354	0.00565	4000000	-0.0002
-2	-0.2243	0.00532	4000000	0
-1	-0.1124	0.00513	4000000	0.0001
0	0	0.00507	4000000	-0
1	0.1124	0.00513	4000000	-0.0001
2	0.2243	0.00532	4000000	-0
3	0.3354	0.00565	4000000	0.0002
4	0.4457	0.00607	4000000	0.0005
5	0.555	0.00657	4000000	0.0012
6	0.6625	0.00718	4000000	0.0022
7	0.7683	0.00781	4000000	0.0037
8	0.8843	0.00861	4000000	0.0026
9	1.0103	0.00953	4000000	-0.001
10	1.1262	0.01068	4000000	-0.0027
11	1.2167	0.01155	4000000	0.0012
12	1.3103	0.0128	4000000	0.004
13	1.3997	0.01459	4000000	0.0071
14	1.4899	0.01604	4000000	0.0097
15	1.5742	0.01763	4000000	0.013
